code,label_ja,label_hierarchical
911.1352,後撰和歌集,古代後期［中古］：平安時代/勅撰集．八代集/後撰和歌集
911.1353,拾遺和歌集,古代後期［中古］：平安時代/勅撰集．八代集/拾遺和歌集
911.1354,後拾遺和歌集,古代後期［中古］：平安時代/勅撰集．八代集/後拾遺和歌集
911.1355,金葉和歌集,古代後期［中古］：平安時代/勅撰集．八代集/金葉和歌集
911.1356,詞花和歌集,古代後期［中古］：平安時代/勅撰集．八代集/詞花和歌集
911.1357,千載和歌集,古代後期［中古］：平安時代/勅撰集．八代集/千載和歌集
911.1358,新古今和歌集,古代後期［中古］：平安時代/勅撰集．八代集/新古今和歌集
911.137,私撰集：新撰和歌集，三十六人集，古今和歌六帖,和歌．短歌/古代後期［中古］：平安時代/私撰集：新撰和歌集，三十六人集，古今和歌六帖
911.138,家集,和歌．短歌/古代後期［中古］：平安時代/家集
911.14,中世：鎌倉・室町時代,詩歌/和歌．短歌/中世：鎌倉・室町時代
911.142,歌人伝・研究,和歌．短歌/中世：鎌倉・室町時代/歌人伝・研究
911.145,勅撰集：十三代集,和歌．短歌/中世：鎌倉・室町時代/勅撰集：十三代集
911.147,私撰集：小倉百人一首,和歌．短歌/中世：鎌倉・室町時代/私撰集：小倉百人一首
911.1473,夫木和歌集．新葉和歌集,中世：鎌倉・室町時代/私撰集：小倉百人一首/夫木和歌集．新葉和歌集
911.148,家集：山家集，金槐集,和歌．短歌/中世：鎌倉・室町時代/家集：山家集，金槐集
911.15,近世：江戸時代,詩歌/和歌．短歌/近世：江戸時代
911.152,歌人伝・研究,和歌．短歌/近世：江戸時代/歌人伝・研究
911.157,選集,和歌．短歌/近世：江戸時代/選集
911.158,家集,和歌．短歌/近世：江戸時代/家集
911.16,近代：明治以後,詩歌/和歌．短歌/近代：明治以後
911.162,歌人伝・研究,和歌．短歌/近代：明治以後/歌人伝・研究
911.167,複数作家の歌集．勅題集,和歌．短歌/近代：明治以後/複数作家の歌集．勅題集
911.168,個人歌集,和歌．短歌/近代：明治以後/個人歌集
911.18,歌合．曲水,詩歌/和歌．短歌/歌合．曲水
911.19,狂歌．へなぶり,詩歌/和歌．短歌/狂歌．へなぶり
911.2,連歌,日本文学/詩歌/連歌
911.201,連歌論,詩歌/連歌/連歌論
911.3,俳諧．俳句,日本文学/詩歌/俳諧．俳句
911.301,俳論,詩歌/俳諧．俳句/俳論
911.302,俳諧史．俳人列伝・研究,詩歌/俳諧．俳句/俳諧史．俳人列伝・研究
911.304,論文集．評論集．講演集．俳話．評釈．鑑賞,詩歌/俳諧．俳句/論文集．評論集．講演集．俳話．評釈．鑑賞
911.306,団体：学会，協会，会議．句会,詩歌/俳諧．俳句/団体：学会，協会，会議．句会
911.307,研究法．指導法．作句法．作句用書．歳時記,詩歌/俳諧．俳句/研究法．指導法．作句法．作句用書．歳時記
911.308,叢書．全集．選集,詩歌/俳諧．俳句/叢書．全集．選集
911.31,芭蕉以前：山崎宗鑑，荒木田守武，松永貞徳，西山宗因，井原西鶴,詩歌/俳諧．俳句/芭蕉以前：山崎宗鑑，荒木田守武，松永貞徳，西山宗因，井原西鶴
911.31/.35,近世まで,近世まで
911.32,松尾芭蕉,詩歌/俳諧．俳句/松尾芭蕉
911.33,元禄期：榎本其角，服部嵐雪，向井去来，内藤丈草，森川許六，各務支考，横井也有，中川乙由，上島鬼貫,詩歌/俳諧．俳句/元禄期：榎本其角，服部嵐雪，向井去来，内藤丈草，森川許六，各務支考，横井也有，中川乙由，上島鬼貫
