grouping_title,bib_uri,NDLBibID,title_full,title_main,title_transcription,title_alternative,creators_name,creators_transcription,publisher_name,publisher_transcription,publisher_location,date,issued,ndc_raw,subjects_free,language,extent,material_type,access_rights,rights,audience,see_also,iiif_manifest,thumbnail,approx_count
[中島広足歌集],https://ndlsearch.ndl.go.jp/books/R100000002-I000003284961#material,000003284961; 000003284961,[中島広足歌集],[中島広足歌集],ナカジマ ヒロタリ カシュウ,,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",写,,,[江戸後期],1800,911.15; 911.158,歌集,jpn,1冊 ; 13×22cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003284961; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284961,,,1
[元旦七言絶句],https://ndlsearch.ndl.go.jp/books/R100000002-I000003279738#material,000003279738; 000003279738,[元旦七言絶句] : 天保12～弘化3年,[元旦七言絶句] : 天保12～弘化3年,ガンタン シチゴン ゼック,,"林, 述斎, 1768-1841; 林, 檉宇, 1791-1844; 林, 復斎, 1800-1859","ハヤシ, ジュッサイ, 1768-1841; ハヤシ, テイウ, 1791-1844; ハヤシ, フクサイ, 1800-1859",,,,[江戸末期],1800,919,漢詩,jpn,1冊 ; 16×26cm,和古書,,,,http://id.ndl.go.jp/bib/000003279738; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279738,,,1
[契沖追悼詩歌集],https://ndlsearch.ndl.go.jp/books/R100000002-I000003283061#material,000003283061; 000003283061,[契沖追悼詩歌集],[契沖追悼詩歌集],ケイチュウ ツイトウ シイカシュウ,,,,中島広足 写,,,文政1(1818),1818,911.15,契沖 (1640～1701) ケイチュウ (1640～1701); 歌集,jpn,1冊 ; 26cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003283061; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283061,,,1
[柳亭種彦自筆書簡],https://ndlsearch.ndl.go.jp/books/R100000002-I000003285005#material,000003285005; 000003285005,[柳亭種彦自筆書簡],[柳亭種彦自筆書簡],リュウテイ タネヒコ ジヒツ ショカン,,"柳亭, 種彦 1世, 1783-1842","リュウテイ, タネヒコ 1セイ, 1783-1842",写,,,[江戸後期],1800,913.57,"柳亭, 種彦 (1世 1783～1842) リュウテイ, タネヒコ (1世 1783～1842); 書簡",jpn,1軸 ; 21.5cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003285005; https://ndlsearch.ndl.go.jp/books/R100000002-I000003285005,,,1
[楽書神事あんど],https://ndlsearch.ndl.go.jp/books/R100000002-I000003285021#material,000003285021; 000003285021,[楽書神事あんど],[楽書神事あんど],ラクガキ シンジ アンド,諸人一休楽書神事あんど,,,,,,弘化3(1846)序,1846,911.19,狂歌,jpn,1冊 ; 17cm,和古書,,,,http://id.ndl.go.jp/bib/000003285021; https://ndlsearch.ndl.go.jp/books/R100000002-I000003285021,,,1
[漢詩文集抄],https://ndlsearch.ndl.go.jp/books/R100000002-I000003279744#material,000003279744; 000003279744,[漢詩文集抄],[漢詩文集抄],カンシブンシュウ ショウ,,,,写,,,[江戸末期],1800,919,漢詩文,jpn,1冊 ; 25cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003279744; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279744,,,1
[画本柳樽],https://ndlsearch.ndl.go.jp/books/R100000002-I000003280361#material,000003280361; 000003280361,[画本柳樽]. [2編],[画本柳樽],エホン ヤナギダル,家内喜多留,"岳亭, 丘山, 江戸後期","ガクテイ, キュウザン, エド コウキ",塩屋弥七 [ほか],,[大阪],天保13(1842),1842,911.4,川柳,jpn,1冊 ; 18cm,和古書,,,,http://id.ndl.go.jp/bib/000003280361; https://ndlsearch.ndl.go.jp/books/R100000002-I000003280361,,,1
[荷田在満家歌合],https://ndlsearch.ndl.go.jp/books/R100000002-I000003279634#material,000003279634; 000003279634,[荷田在満家歌合]; 十二番歌合 賀茂真淵判. 附録 宝暦六年二月県居翁家歌会兼題当坐歌,[荷田在満家歌合],カダ アリマロケ ウタアワセ,十二番歌合,"賀茂, 真淵, 1697-1769","カモ, マブチ, 1697-1769",,,,[文化7(1810)],1810,911.15,歌集,jpn,1冊 ; 26cm,和古書,,,,http://id.ndl.go.jp/bib/000003279634; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279634,,,2
[落噺臍能七艸],https://ndlsearch.ndl.go.jp/books/R100000002-I000003279683#material; https://ndlsearch.ndl.go.jp/books/R100000039-I14207837#material; https://ndlsearch.ndl.go.jp/books/R100000039-I14207838#material; https://ndlsearch.ndl.go.jp/books/R100000039-I14207839#material,000003279683; 000003279683,[落噺臍能七艸] : 3巻; [落噺臍能七艸] : 3巻 [1]; [落噺臍能七艸] : 3巻 [2]; [落噺臍能七艸] : 3巻 [3],[落噺臍能七艸] : 3巻,オトシバナシ ヘソ ノ ナナクサ,,,,藤屋九兵衛 [ほか],,浪花,嘉永7(1854),1854,913.59,咄本,jpn,3冊 ; 23cm,和古書,インターネット公開,pdm; PDM,,http://id.ndl.go.jp/bib/000003279683; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279683; http://id.ndl.go.jp/digimeta/14207837; https://doi.org/10.11501/14207837; https://dl.ndl.go.jp/pid/14207837; https://dl.ndl.go.jp/api/iiif/14207837/manifest.json; http://id.ndl.go.jp/digimeta/14207838; https://doi.org/10.11501/14207838; https://dl.ndl.go.jp/pid/14207838; https://dl.ndl.go.jp/api/iiif/14207838/manifest.json; http://id.ndl.go.jp/digimeta/14207839; https://doi.org/10.11501/14207839; https://dl.ndl.go.jp/pid/14207839; https://dl.ndl.go.jp/api/iiif/14207839/manifest.json,https://dl.ndl.go.jp/api/iiif/14207837/manifest.json; https://dl.ndl.go.jp/api/iiif/14207838/manifest.json; https://dl.ndl.go.jp/api/iiif/14207839/manifest.json,https://dl.ndl.go.jp/titleThumb/info:ndljp/pid/14207837; https://dl.ndl.go.jp/titleThumb/info:ndljp/pid/14207838; https://dl.ndl.go.jp/titleThumb/info:ndljp/pid/14207839,4
〓肩亙嚢,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB103415693#material,,〓肩亙嚢,〓肩亙嚢,テイケンガノウ,,静軒居士∥[著],セイケンコジ,,,,安政4序,,91,,jpn,23cm; 8丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B103415693,,,1
〓花猫眼鬘,https://ndlsearch.ndl.go.jp/books/R100000002-I000003279687#material,000003279687; 000003279687,〓花猫眼鬘 : 7編28巻,〓花猫眼鬘 : 7編28巻,コガネ ノ ハナ ネコ ノ メ カズラ,猫,"仮名垣, 魯文, 1829-1894; 歌川, 芳虎, 江戸末期-明治時代; 落合, 芳幾, 1833-1904; 月岡, 芳年, 1839-1892","カナガキ, ロブン, 1829-1894; ウタガワ, ヨシトラ, エド マッキ-メイジ ジダイ; オチアイ, ホウキ, 1833-1904; ツキオカ, ヨシトシ, 1839-1892",松林堂藤岡屋慶次郎,,江戸,文久3～慶応4(1863～1868),1868,913.57,合巻,jpn,14冊 (合7冊) ; 18cm,和古書,,,,http://id.ndl.go.jp/bib/000003279687; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279687,,,1
〔景山公題臨江楼尊韻〕,https://ndlsearch.ndl.go.jp/books/R000000034-I000000352#material,,〔景山公題臨江楼尊韻〕,〔景山公題臨江楼尊韻〕,ケイザン　コウ　ダイ　リンコウロウ　ソンイン,,烈公 || 徳川斉昭,レッコウ || トクガワ，ナリアキ,,,,1842年,1842,919.5,徳川　斉昭,,,和古書,インターネット公開,,一般,https://www.lib.pref.ibaraki.jp/guide/shiryou/digital_lib/valuable_m/001051192373/Bibliography.html,,,1
あしむろ集,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389695#material,,あしむろ集,あしむろ集,アシムロシュウ,,井眉∥著,セイビ,井眉,セイビ,,1809(文化6),1809-01-01,911.3,,jpn,23cm; 24丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389695,,,1
あたみ日記,https://ndlsearch.ndl.go.jp/books/R100000002-I000003279880#material,000003279880; 000003279880,あたみ日記,あたみ日記,アタミ ニッキ,,"藤原, 葛満, 江戸末期","フジワラ, カツミツ, エド マッキ",,,,[江戸末期],1800,915,紀行,jpn,1冊 ; 23cm,和古書,,,,http://id.ndl.go.jp/bib/000003279880; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279880,,,1
あちま野,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389706#material,,あちま野,あちま野,アジマノ,,鴬庵甫紅∥著,ウグイスアンホコウ,橘屋治兵衛,タチバナヤジヘエ,京都,1821(文政4),1821-01-01,911.3,,jpn,23cm; 28丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389706,,,1
あまのくゝつ,https://ndlsearch.ndl.go.jp/books/R100000002-I000003282971#material,000003282971; 000003282971,あまのくゝつ,あまのくゝつ,アマ ノ クグツ,海人のくゝつ; くゝつ,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",秋田屋太右衛門 [ほか],,大阪,嘉永3(1850)序,1850,914,随筆,jpn,1冊 ; 26cm,和古書,,,,http://id.ndl.go.jp/bib/000003282971; https://ndlsearch.ndl.go.jp/books/R100000002-I000003282971,,,1
いきじもの,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB002452626#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB002452627#material,,いきじもの 上; いきじもの 下,いきじもの,イキジモノ,,車大∥編,シャダイ,橘栄堂勝田善助,カツタゼンスケ,京都,1808,1808-01-01,913,,jpn,19cm; 31丁; 19cm; 32丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B002452626; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B002452627,,,2
いそちとり,https://ndlsearch.ndl.go.jp/books/R100000002-I000003279655#material,000003279655; 000003279655,いそちとり,いそちとり,イソチドリ,追善いそちとり,"浅川亭, 夢中庵; 歌川, 豊国 3世, 1786-1864","アサカワテイ, ムチュウアン; ウタガワ, トヨクニ 3セイ, 1786-1864",,,,[江戸後期],1800,911.3,俳諧,jpn,1冊 ; 25cm,和古書,,,,http://id.ndl.go.jp/bib/000003279655; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279655,,,1
うけらが花,https://ndlsearch.ndl.go.jp/books/R100000002-I000003279630#material,000003279630; 000003279630,うけらが花 : 2編14巻,うけらが花 : 2編14巻,ウケラガハナ,,"橘, 千蔭, 1735-1808","タチバナ, チカゲ, 1735-1808",河内屋儀輔,,大阪,享和2～文化5(1802～1808),1808,911.15,歌文集,jpn,10冊 ; 23cm,和古書,,,,http://id.ndl.go.jp/bib/000003279630; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279630,,,1
うすきり,https://ndlsearch.ndl.go.jp/books/R100000002-I000003284559#material,000003284559; 000003284559,うすきり,うすきり,ウスギリ,,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",写,,,[江戸後期],1800,915.5,紀行,jpn,1冊 ; 27cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003284559; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284559,,,1
うた日記,https://ndlsearch.ndl.go.jp/books/R100000002-I000003283286#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389574#material,000003283286; 000003283286,うた日記,うた日記,ウタ ニッキ; ウタニッキ,,"大国, 隆正, 1792-1871; 野之口隆正∥著","オオクニ, タカマサ, 1792-1871; ノノグチタカマサ",細川清助,,京都,1834(天保5); 天保5(1834)序,1834; 1834-01-01,911.1; 911.1; 911.104,和歌∥歌論・歌話 ワカ∥カロンカワ; 歌学,jpn,1冊 ; 26cm; 26cm; 40丁,和古書; 図書; 和古書,,,一般,http://id.ndl.go.jp/bib/000003283286; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283286; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389574,,,1
うつせかひ,https://ndlsearch.ndl.go.jp/books/R100000002-I000003284964#material,000003284964; 000003284964,"うつせかひ. 第2,3集",うつせかひ,ウツセガイ,,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",写,,,[江戸末期],1800,911.15; 911.158,歌集,jpn,1冊 ; 26cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003284964; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284964,,,1
おあむ物語,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389855#material,,おあむ物語 おきく物語,おあむ物語 おきく物語,オアンモノガタリオキクモノガタリ,,,,和泉屋金右衛門,イズミヤキンエモン,江戸,1845(弘化2),1845-01-01,913.4,,jpn,26cm; 24丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389855,,,1
おさん茂平花名所懐中暦,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000426#material,,おさん茂平花名所懐中暦 4編 (存2編),おさん茂平花名所懐中暦 4編 (存2編),オサン モヘイ ハナ メイショ カイチュウ ゴヨミ,花名所; ハナ メイショ; 翻刻懐中暦; ホンコク カイチュウゴヨミ; 懐中ごよみ; カイチュウ ゴヨミ; 花名所懐中暦 : おさん茂平; ハナメイショ フトコロ ゴヨミ : オサン モヘイ,"狂訓亭, 主人","キョウクンテイ, シュジン",,,,1836,1836,913.54,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000426; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000426.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000426/111689.tiff/full/90,/0/default.jpg",1
おらが春,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001389694#material,,おらが春,おらが春,オラガハル,,小林一茶∥著,コバヤシイツサ,小林一茶,コバヤシイッサ,江戸,1852(嘉永5),1852-01-01,911.3,,jpn,23cm; 1冊,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001389694,,,1
かしのしつ枝,https://ndlsearch.ndl.go.jp/books/R100000002-I000003282925#material,000003282925; 000003282925,かしのしつ枝 : 2巻,かしのしつ枝 : 2巻,カシ ノ シズエ,橿のしつ枝; かしのしつえ,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",河内屋吉兵衛 [ほか],,大阪,嘉永6(1853),1853,914,和歌∥歌論・歌話 ワカ∥カロンカワ; 随筆,jpn,2冊 ; 26cm,和古書,,,,http://id.ndl.go.jp/bib/000003282925; https://ndlsearch.ndl.go.jp/books/R100000002-I000003282925,,,1
かつらかさね,https://ndlsearch.ndl.go.jp/books/R100000002-I000003285020#material,000003285020; 000003285020,かつらかさね,かつらかさね,カツラ カサネ,,"耳鳥斎, 江戸中期","ニチョウサイ, エド チュウキ",塩屋忠兵衛 [ほか],,浪華,享和3(1803),1803,911.3; 911.35,俳諧,jpn,1冊 ; 26cm,和古書,,,,http://id.ndl.go.jp/bib/000003285020; https://ndlsearch.ndl.go.jp/books/R100000002-I000003285020,,,1
かりの行かひ,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000596#material,,かりの行かひ,かりの行かひ,カリ ノ ユキカイ,厂の行かひ; カリ ノ イキカイ,"賀茂, 季鷹","カモノ, スエタカ",林安五郎,,,1802,1802,915.5,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000596; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000596.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000596/140257.tiff/full/90,/0/default.jpg",1
くせものかたり,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001390235#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001390236#material,,くせものかたり 上; くせものかたり 下,くせものかたり,クセモノガタリ,,上田釈成∥著,ウエダシャクセイ,河内屋茂兵衛,カワチヤモヘエ,大阪,1822(文政5),1822-01-01,913.5,,jpn,"23cm; 2,29丁; 23cm; 27丁",図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001390235; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001390236,,,2
このはな集,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB002453270#material,,このはな集,このはな集,コノハナシュウ,,十楳園黄年∥編,ジュウバイエンオウネン,,,,1848,1848-01-01,913,,jpn,22cm; 72丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B002453270,,,1
さやさや草紙,https://ndlsearch.ndl.go.jp/books/R100000002-I000003283392#material,000003283392; 000003283392,さやさや草紙 : 3巻,さやさや草紙 : 3巻,サヤサヤ ゾウシ,亮々草紙,"木下, 幸文, 1779-1821","キノシタ, タカフミ, 1779-1821",河内屋茂兵衛 [ほか],,大阪,文政4(1821),1821,914,和歌∥歌論・歌話 ワカ∥カロンカワ; 随筆,jpn,3冊 ; 26cm,和古書,,,,http://id.ndl.go.jp/bib/000003283392; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283392,,,1
しのすだれ,https://ndlsearch.ndl.go.jp/books/R100000002-I000003283043#material; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283157#material; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284952#material; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284955#material; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284980#material,000003283043; 000003283043; 000003283157; 000003283157; 000003284952; 000003284952; 000003284955; 000003284955; 000003284980; 000003284980,しのすだれ. 第1～3集; しのすだれ. 第4集; しのすだれ. 第6集; しのすだれ. 第7集; しのすだれ. 第7集3巻,しのすだれ,シノスダレ,,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",写; 小野左右助 [ほか],,長崎,[江戸後期]; [江戸末期]; 嘉永6(1853),1800; 1853,911; 911.15; 911.158,歌集,jpn,1冊 ; 25cm; 1冊 ; 26cm; 3冊 ; 26cm,和古書; 和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003283043; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283043; http://id.ndl.go.jp/bib/000003283157; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283157; http://id.ndl.go.jp/bib/000003284952; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284952; http://id.ndl.go.jp/bib/000003284955; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284955; http://id.ndl.go.jp/bib/000003284980; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284980,,,5
しのふくさ,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000341#material,,しのふくさ 4編7巻,しのふくさ 4編7巻,シノブグサ,志能布久佐; 志能ふ久佐; 志の布草; シノフクサ,"八田, 知紀","ハッタ, トモノリ",出雲寺松栢堂,,,1855,1855,911.158,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000341; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000341.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000341/93095.tiff/full/90,/0/default.jpg",1
しらきく集,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB112724076#material,,しらきく集 下,しらきく集,シラキクシュウ,,林曹比良城∥編琴橋香川徽∥序,,,,,1843(天保14)年,1843-01-01,911.3,月明文庫 ゲツメイブンコ,jpn,23×16cm; 38丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B112724076,,,1
すみれ草,https://ndlsearch.ndl.go.jp/books/R100000002-I000003283604#material,000003283604; 000003283604,すみれ草,すみれ草,スミレグサ,源氏物語系図年立すみれ草,"北村, 久備","キタムラ, ヒサトモ",岡田屋嘉七 [ほか],,江戸,文化9(1812)序,1812,913.3; 913.362,源氏物語 ゲンジモノガタリ; 物語; 注釈,jpn,3冊 ; 26cm,和古書,,,,http://id.ndl.go.jp/bib/000003283604; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283604,,,1
そのあかり,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB112724049#material,,そのあかり,そのあかり,ソノアカリ,,鶴甫∥序,,,,,1845(弘化2)年,1845-01-01,911.3,月明文庫 ゲツメイブンコ,jpn,21×16m; 1冊,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B112724049,,,1
たち花の香,https://ndlsearch.ndl.go.jp/books/R100000002-I000003283391#material,000003283391; 000003283391,たち花の香 : 2巻,たち花の香 : 2巻,タチバナ ノ カ,,観尊,カンソン,,,,弘化4(1847),1847,911.15,和歌∥歌集 ワカ∥カシュウ; 和歌,jpn,2冊 ; 26cm,和古書,,,,http://id.ndl.go.jp/bib/000003283391; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283391,,,1
たまひろひ,https://ndlsearch.ndl.go.jp/books/R100000124-I000001325#material,,たまひろひ,たまひろひ,タマヒロイ,,[麦仙城烏岬編],バクセンジョウ ウコウ,,,,,1861,911.35,,,,和古書; 書写資料,インターネット公開,CC-BY; http://www.archives.kyoto.jp/?page_id=7238; CC BY（表示）,一般,http://www.archives.kyoto.jp/websearchpe/detail?cls=152_old_books_catalog&pkey=0000001415,,http://www.archives.kyoto.jp/websearchpe/rest/media/M?cls=150_media_old_books&pkey=0000239937,1
ちかこ集,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001628115#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001628116#material,,ちかこ集 10; ちかこ集 11,ちかこ集,チカコシュウ,,,,,,,慶応2年; 文久元年～慶応2年,,911.3,,jpn,18cm; 1冊,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001628115; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001628116,,,2
とくさかり,https://ndlsearch.ndl.go.jp/books/R100000002-I000003279662#material,000003279662; 000003279662,とくさかり,とくさかり,トクサガリ,,精知,セイチ,,,,慶応3(1867)序,1867,911.3,俳諧,jpn,1冊 ; 23cm,和古書,,,,http://id.ndl.go.jp/bib/000003279662; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279662,,,1
とこよぢの日記,https://ndlsearch.ndl.go.jp/books/R100000002-I000003284570#material,000003284570; 000003284570,とこよぢの日記 : 草本,とこよぢの日記 : 草本,トコヨジ ノ ニッキ,,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",写,,,文政9(1826),1826,915.5,紀行,jpn,1冊 ; 27cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003284570; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284570,,,1
とのつくり,https://ndlsearch.ndl.go.jp/books/R100000002-I000003284524#material,000003284524; 000003284524,とのつくり,とのつくり,トノズクリ,,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",写,,,[安政年間],1800,911.104,和歌∥歌論・歌話 ワカ∥カロンカワ; 歌学,jpn,1冊 ; 27cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003284524; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284524,,,1
にひまなび,https://ndlsearch.ndl.go.jp/books/R100000002-I000003283351#material; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284480#material,000003283351; 000003283351; 000003284480; 000003284480,にひまなび,にひまなび,ニイマナビ,,"賀茂, 真淵, 1697-1769; 賀茂, 真淵, 1697-1769; 長瀬, 真幸, 1765-1835","カモ, マブチ, 1697-1769; カモ, マブチ, 1697-1769; ナガセ, マサキ, 1765-1835",中島春臣 写; 播磨屋嘉助 [ほか],,坂陽,寛政12(1800); 文化14(1817),1800; 1817,911.1; 911.12,万葉集 マンヨウシュウ; 歌学; 和歌∥歌論・歌話 ワカ∥カロンカワ; 歌学,jpn,1冊 ; 27cm,和古書; 和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003283351; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283351; http://id.ndl.go.jp/bib/000003284480; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284480,,,1
はなの雫,https://ndlsearch.ndl.go.jp/books/R100000002-I000003283189#material,000003283189; 000003283189,はなの雫,はなの雫,ハナ ノ シズク,,"菅沼, 斐雄, 1786-1834","スガヌマ, アヤオ, 1786-1834",写,,,[文政年間],1800,911.158,歌集,jpn,1冊 ; 24cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003283189; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283189,,,1
はるのかり,https://ndlsearch.ndl.go.jp/books/R100000002-I000003284990#material,000003284990; 000003284990,はるのかり : 前西帰. 下,はるのかり : 前西帰,ハル ノ カリ,はるのかり前西帰,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",写,,,[江戸後期],1800,915; 915.5,紀行,jpn,1冊 ; 28cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003284990; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284990,,,1
ふたくさの道記,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001390689#material,,ふたくさの道記; 内容：香とりの日記 橘千蔭 椿まうでの記 村田春海,ふたくさの道記,フタクサノミチキ,,藤原元雄∥編,フジワラモトオ,万笈堂,バンキュウドウ,江戸,1810(文化7),1810-01-01,915.5,,jpn,23cm; 34丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001390689,,,2
ふなぢのなやみ,https://ndlsearch.ndl.go.jp/books/R100000002-I000003284475#material,000003284475; 000003284475,ふなぢのなやみ,ふなぢのなやみ,フナジ ノ ナヤミ,,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",写,,,文政6(1823),1823,915.5,紀行,jpn,1冊 ; 14×20cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003284475; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284475,,,1
ましり咲,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001628119#material,,ましり咲,ましり咲,マシリザキ,,車大∥編,シャダイ,桃林堂 勝田喜右衛門 橘栄堂勝田善助,トウリンドウ カツタ キウエモン キツエイドウ ゼンスケ,京都,1805 文化2年序,1805-01-01,913,,jpn,19.1×15.0cm; 44丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001628119,,,1
やつれ蓑の日記,https://ndlsearch.ndl.go.jp/books/R100000002-I000003283387#material,000003283387; 000003283387,やつれ蓑の日記; 附:美徳山紀行.雨滝紀行,やつれ蓑の日記,ヤツレミノ ノ ニッキ,美徳山紀行; 雨滝紀行,"衣川, 長秋, 1765-1822","キヌガワ, ナガアキ, 1765-1822",丁字屋源次郎,,皇都,文政4(1821)序,1821,915,紀行,jpn,1冊 ; 26cm,和古書,,,,http://id.ndl.go.jp/bib/000003283387; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283387,,,2
わすれかたみ,https://ndlsearch.ndl.go.jp/books/R100000002-I000003284989#material,000003284989; 000003284989,わすれかたみ : 橿園文集附巻,わすれかたみ : 橿園文集附巻,ワスレ ガタミ,橿園文集附巻,"中島, 広足, 1792-1864","ナカジマ, ヒロタリ, 1792-1864",写,,,[江戸後期],1800,914; 914.5,随筆,jpn,1冊 ; 27cm,和古書; 書写資料,,,,http://id.ndl.go.jp/bib/000003284989; https://ndlsearch.ndl.go.jp/books/R100000002-I000003284989,,,1
