grouping_title,bib_uri,NDLBibID,title_full,title_main,title_transcription,title_alternative,creators_name,creators_transcription,publisher_name,publisher_transcription,publisher_location,date,issued,ndc_raw,subjects_free,language,extent,material_type,access_rights,rights,audience,see_also,iiif_manifest,thumbnail,approx_count
義經蝦夷勲功記,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000498#material,,義經蝦夷勲功記 4編19巻 (存1編4巻),義經蝦夷勲功記 4編19巻 (存1編4巻),ヨシツネ エゾ クンコウキ,蝦夷勲功記三編; エゾ クンコウキ サンペン; 義經勲功記; ヨシツネ クンコウキ,"永楽舎, 一水","エイラクシャ, イッスイ",金幸堂,,,1855,1855,913.436,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000498; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000498.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000498/123726.tiff/full/90,/0/default.jpg",1
翁草,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB112724146#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB112724147#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB112724148#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB112724149#material,,翁草 三; 翁草 二; 翁草 五; 翁草 四,翁草,オキナグサ,,神沢杜口∥著,"カンザワ,トコウ",田中屋次助; 藤屋善七; 須原屋茂兵衛,スハラヤ/モヘエ,京都; 大阪; 江戸,1850(嘉永3)年,1850-01-01,914.5,月明文庫 ゲツメイブンコ,jpn,"26×18cm; 2,24丁; 26×18cm; 2,25丁",図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B112724146; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B112724147; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B112724148; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B112724149,,,4
老懐百首,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB111617138#material,,老懐百首,老懐百首,ロウカイヒャクシュ,,鳳質居士∥著,ネギシツネノリ,[出版者不明],シュッパンシャフメイ,[出版地不明],1824(文政7),1824-01-01,919.5,,jpn,23cm; 16丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B111617138,,,1
聖廟法樂連歌三物,https://ndlsearch.ndl.go.jp/books/R100000124-I000002387#material,,聖廟法樂連歌三物,聖廟法樂連歌三物,セイビョウ ホウラク レンガ ミツモノ,,,,[出版者不明],,,享和2 [1802],1802,911.2,,,,和古書; 書写資料,インターネット公開,CC-BY; http://www.archives.kyoto.jp/?page_id=7238; CC BY（表示）,一般,http://www.archives.kyoto.jp/websearchpe/detail?cls=152_old_books_catalog&pkey=0000002526,,http://www.archives.kyoto.jp/websearchpe/rest/media/M?cls=150_media_old_books&pkey=0000435744,1
能登めぐり,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB002452729#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB002452730#material,,能登めぐり 雲; 能登めぐり 風,能登めぐり,ノトメグリ,,[直山]大夢∥著,ナオヤマダイム,器水写,キスイ,,1861,1861-01-01,913,,jpn,23cm; 1冊,図書; 和古書,インターネット公開,著作権なし,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B002452729; https://www.library.pref.ishikawa.lg.jp/shosho/iiif/orgn_B002452729/manifest.json; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B002452730; https://www.library.pref.ishikawa.lg.jp/shosho/iiif/orgn_B002452730/manifest.json,https://www.library.pref.ishikawa.lg.jp/shosho/iiif/orgn_B002452729/manifest.json; https://www.library.pref.ishikawa.lg.jp/shosho/iiif/orgn_B002452730/manifest.json,https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002452729/cover/B0024527290001.thumb.jpg; https://www.library.pref.ishikawa.lg.jp/shosho/content/item/orgn/B002452730/cover/B0024527300001.thumb.jpg,2
膝麿毛,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001737229#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001737230#material,,膝麿毛 三編上; 膝麿毛 六編上,膝麿毛,ヒザスリゲ,別書名：浮世閨中膝麿毛,吾妻男一丁(2代目)∥著,"ジッペンシャ,イック",喜楽堂,キラクドウ,東都,文政11(1828)序,1828-01-01,913.57,,jpn,18×12cm; 21丁; 18×12cm; 33丁,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001737229; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001737230,,,2
興風集,https://ndlsearch.ndl.go.jp/books/R100000002-I000003283420#material,000003283420; 000003283420,興風集,興風集,コウフウシュウ,,,,,,,[江戸後期],1800,919,和歌; 漢詩文,jpn,1冊 ; 19cm,和古書,,,,http://id.ndl.go.jp/bib/000003283420; https://ndlsearch.ndl.go.jp/books/R100000002-I000003283420,,,1
舟中一覧,https://ndlsearch.ndl.go.jp/books/R100000002-I000003279663#material,000003279663; 000003279663,舟中一覧,舟中一覧,シュウチュウ イチラン,奥州塩竃松島舟中一覧,"菅原, 曲渓","スガワラ, キョクケイ",,,,文政3(1820)序,1820,911,詩歌,jpn,1冊 ; 24cm,和古書,,,,http://id.ndl.go.jp/bib/000003279663; https://ndlsearch.ndl.go.jp/books/R100000002-I000003279663,,,1
色ハ思案の外欲ハ分別の中賣色安本丹,https://ndlsearch.ndl.go.jp/books/R100000123-IMD00000509#material,,色ハ思案の外欲ハ分別の中賣色安本丹,色ハ思案の外欲ハ分別の中賣色安本丹,イロ ワ シアン ノ ホカ ヨク ワ フンベツ ノ ウチ バイショク アンホンタン,戀ハ思案の外欲ハ分別の中賣色安本丹; コイ ワ シアン ノ ホカ ヨク ワ フンベツ ノ ウチ バイショク アンホンタン; 賣色安本丹; バイショク アンポンタン; 安本丹; アンポンタン,"十返舎, 一九","ジッペンシャ, イック",中村屋幸藏,,,1829,1829,913.55,,jpn,,和古書,インターネット公開,著作権なし-契約による制限あり,一般,https://dgcl.doshisha.ac.jp/digital/collections/MD00000509; https://dgcl.doshisha.ac.jp/images/manifest/50000/MD00000509.json,,"https://dgcl.doshisha.ac.jp/images/iiif/1/50000/MD00000509/126141.tiff/full/90,/0/default.jpg",1
芍薬亭詠藻広陵集,https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001652875#material; https://ndlsearch.ndl.go.jp/books/R100000133-IorgnB001652876#material,,芍薬亭詠藻広陵集 上; 芍薬亭詠藻広陵集 下,芍薬亭詠藻広陵集,シャクヤクテイエイソウコウリョウシュウ,,芍薬亭長根∥著,シャクヤクテイナガネ,,,,1833(天保4),1833-01-01,911.15,,jpn,23cm; 1冊,図書; 和古書,,,一般,https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001652875; https://www.library.pref.ishikawa.lg.jp/shosho/detail/orgn/B001652876,,,2
