year,title,genre_major,location,lat,lon,creator_normalized,coordinates
1818,詩工椎鑿,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1808,詩語砕錦,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1849,詩韻砕金幼学便覧,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1848,誠忠義臣略伝,日本文学,江戸,35.6895,139.6917,緑亭川柳,"35.6895,139.6917"
1806,賀茂翁家集 : 5巻,詩歌,江戸,35.6895,139.6917,賀茂 真淵,"35.6895,139.6917"
1853,贈答百人一首,日本文学,江戸,35.6895,139.6917,緑亭 川柳,"35.6895,139.6917"
1833,輪廻機綱夢白浪,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1849,近世三十六名家略伝 : 2巻,和歌．短歌,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1828,近世叢語 : 8巻,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1823,近聞寓筆 : 4巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1815,近葉菅根集 : 10巻,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1829,通俗排悶録 : 11巻,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1831,通俗西遊記 : 5篇,小説．物語,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1834,過庭紀談,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1800,道中膝栗毛,小説．物語,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1849,遠思楼詩鈔,文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1841,郷布李集,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1819,都日記,文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
1848,釈迦八相倭文庫,小説．物語,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1804,釣竿,日本文学,京都,35.0116,135.7681,その他,"35.0116,135.7681"
1827,鎮西菊池軍記,日本文学,大阪,34.6937,135.5023,その他,"34.6937,135.5023"
1805,長崎行役日記,日本文学,江戸,35.6895,139.6917,その他,"35.6895,139.6917"
